corruption,severity,prompt,clean_top1,corrupted_top1,robustness_drop_top1,clean_top5,corrupted_top5,robustness_drop_top5
gaussian_blur,1,a high resolution image of a {},0.608,0.18,0.428,0.924,0.576,0.3480000000000001
gaussian_blur,1,a painting of a {},0.622,0.206,0.41600000000000004,0.92,0.514,0.406
gaussian_blur,3,a painting of a {},0.622,0.138,0.484,0.92,0.45,0.47000000000000003
gaussian_blur,1,a cropped image of a {},0.604,0.194,0.41,0.918,0.61,0.30800000000000005
gaussian_blur,3,a high resolution image of a {},0.608,0.154,0.45399999999999996,0.924,0.532,0.392
gaussian_blur,3,a cropped image of a {},0.604,0.122,0.482,0.918,0.5,0.41800000000000004
gaussian_blur,5,a painting of a {},0.622,0.156,0.46599999999999997,0.92,0.464,0.456
gaussian_blur,5,a high resolution image of a {},0.608,0.146,0.46199999999999997,0.924,0.54,0.384
gaussian_blur,5,a cropped image of a {},0.604,0.124,0.48,0.918,0.502,0.41600000000000004
motion_blur,1,a painting of a {},0.622,0.364,0.258,0.92,0.69,0.2300000000000001
motion_blur,1,a high resolution image of a {},0.608,0.324,0.284,0.924,0.702,0.2220000000000001
motion_blur,3,a painting of a {},0.622,0.286,0.336,0.92,0.568,0.3520000000000001
motion_blur,1,a cropped image of a {},0.604,0.368,0.236,0.918,0.758,0.16000000000000003
motion_blur,3,a high resolution image of a {},0.608,0.212,0.396,0.924,0.506,0.41800000000000004
motion_blur,3,a cropped image of a {},0.604,0.236,0.368,0.918,0.584,0.3340000000000001
motion_blur,5,a high resolution image of a {},0.608,0.19,0.418,0.924,0.48,0.44400000000000006
motion_blur,5,a painting of a {},0.622,0.22,0.402,0.92,0.478,0.44200000000000006
motion_blur,5,a cropped image of a {},0.604,0.196,0.408,0.918,0.5,0.41800000000000004
gaussian_noise,1,a painting of a {},0.622,0.008,0.614,0.92,0.084,0.8360000000000001
gaussian_noise,1,a high resolution image of a {},0.608,0.032,0.576,0.924,0.26,0.664
gaussian_noise,3,a painting of a {},0.622,0.006,0.616,0.92,0.064,0.8560000000000001
gaussian_noise,1,a cropped image of a {},0.604,0.1,0.504,0.918,0.288,0.6300000000000001
gaussian_noise,3,a cropped image of a {},0.604,0.114,0.49,0.918,0.306,0.6120000000000001
gaussian_noise,3,a high resolution image of a {},0.608,0.036,0.572,0.924,0.252,0.672
gaussian_noise,5,a high resolution image of a {},0.608,0.032,0.576,0.924,0.252,0.672
gaussian_noise,5,a painting of a {},0.622,0.002,0.62,0.92,0.08,0.8400000000000001
gaussian_noise,5,a cropped image of a {},0.604,0.128,0.476,0.918,0.304,0.6140000000000001
salt_pepper_noise,1,a high resolution image of a {},0.608,0.49,0.118,0.924,0.838,0.08600000000000008
salt_pepper_noise,1,a painting of a {},0.622,0.52,0.10199999999999998,0.92,0.812,0.10799999999999998
salt_pepper_noise,1,a cropped image of a {},0.604,0.468,0.13599999999999995,0.918,0.844,0.07400000000000007
salt_pepper_noise,3,a painting of a {},0.622,0.506,0.11599999999999999,0.92,0.81,0.10999999999999999
salt_pepper_noise,3,a high resolution image of a {},0.608,0.486,0.122,0.924,0.84,0.08400000000000007
salt_pepper_noise,3,a cropped image of a {},0.604,0.47,0.134,0.918,0.836,0.08200000000000007
salt_pepper_noise,5,a high resolution image of a {},0.608,0.47,0.138,0.924,0.824,0.10000000000000009
salt_pepper_noise,5,a painting of a {},0.622,0.508,0.11399999999999999,0.92,0.824,0.09600000000000009
salt_pepper_noise,5,a cropped image of a {},0.604,0.468,0.13599999999999995,0.918,0.82,0.09800000000000009
random_occlusion,1,a painting of a {},0.622,0.568,0.05400000000000005,0.92,0.864,0.05600000000000005
random_occlusion,1,a high resolution image of a {},0.608,0.562,0.04599999999999993,0.924,0.874,0.050000000000000044
random_occlusion,1,a cropped image of a {},0.604,0.526,0.07799999999999996,0.918,0.892,0.026000000000000023
random_occlusion,3,a painting of a {},0.622,0.586,0.03600000000000003,0.92,0.862,0.05800000000000005
random_occlusion,3,a cropped image of a {},0.604,0.556,0.04799999999999993,0.918,0.882,0.03600000000000003
random_occlusion,3,a high resolution image of a {},0.608,0.568,0.040000000000000036,0.924,0.89,0.03400000000000003
random_occlusion,5,a high resolution image of a {},0.608,0.558,0.04999999999999993,0.924,0.872,0.052000000000000046
